structure,x,y,energy
config_22_seed63.poscar,17.440622,26.63638,0.447163609
config_23_seed64.poscar,-15.87423,18.126377,0.494029613
config_19_seed60.poscar,27.128347,42.862537,0.068359488
config_33_seed74.poscar,18.40657,-20.964235,0.753330036
config_28_seed69.poscar,11.971325,5.6463437,0.135225835
config_37_seed78.poscar,27.449293,13.687616,0.285517544
config_17_seed58.poscar,-41.8667,-27.140238,0.912876928
config_07_seed48.poscar,57.055103,11.56811,0.663003087
config_26_seed67.poscar,-34.837055,-9.447498,0.787812921
config_30_seed71.poscar,8.725959,-58.14363,0.698112076
config_01_seed42.poscar,37.412445,-18.304426,0.236988198
config_47_seed88.poscar,-2.60565,-25.73863,0.590788423
config_21_seed62.poscar,18.771086,64.31015,0.459600959
config_06_seed47.poscar,68.14887,-41.803288,0.274234916
config_09_seed50.poscar,48.707882,47.327873,0.470953831
config_46_seed87.poscar,-21.510424,-25.82158,0.921533372
config_27_seed68.poscar,-22.512215,67.99592,0.19828007
config_38_seed79.poscar,-27.117058,44.396114,0.010659819
config_48_seed89.poscar,53.184772,-10.402319,0.253277237
config_34_seed75.poscar,-61.44462,38.14187,0.346753432
config_15_seed56.poscar,-55.01098,-2.6330957,0.145927562
config_18_seed59.poscar,-14.486016,-8.743748,0.358379969
config_25_seed66.poscar,-78.386055,50.68007,0.912002157
config_20_seed61.poscar,7.203331,79.72579,0.672335281
config_02_seed43.poscar,-42.97463,54.71201,0.02027914
config_43_seed84.poscar,-58.38861,18.424036,0.857451373
config_08_seed49.poscar,4.8606086,-10.427944,0.429121124
config_11_seed52.poscar,-9.947223,54.31004,0.268759673
config_32_seed73.poscar,24.248093,-5.9973598,0.381958961
config_40_seed81.poscar,12.076027,-37.1039,0.723388112
config_10_seed51.poscar,48.694996,-52.252502,0.029086444
config_49_seed90.poscar,-41.705162,11.067064,0.499644259
config_39_seed80.poscar,-44.24274,33.18273,0.986039995
config_13_seed54.poscar,69.5882,-20.529568,0.559004653
config_14_seed55.poscar,-26.022606,5.805005,0.844758148
config_05_seed46.poscar,-30.1728,25.70987,0.968382593
config_42_seed83.poscar,-83.531624,17.312103,0.686225255
config_03_seed44.poscar,30.599781,-36.311275,0.840587202
config_29_seed70.poscar,41.560413,26.503595,0.567559171
config_12_seed53.poscar,5.9437985,43.14917,0.369757714
config_36_seed77.poscar,-89.42736,1.6123407,0.545760405
config_31_seed72.poscar,-10.237903,34.49392,0.391752062
config_50_seed91.poscar,38.694984,2.8193107,0.205421154
config_04_seed45.poscar,0.7816018,20.063404,0.103946545
config_16_seed57.poscar,-4.6957846,4.586534,0.702232867
config_45_seed86.poscar,51.70274,-31.589754,0.379517028
config_24_seed65.poscar,74.96353,-0.89621496,0.345725361
config_35_seed76.poscar,30.281376,-61.362133,0.178893503
config_44_seed85.poscar,-90.192375,35.457138,0.025145073
config_41_seed82.poscar,-13.204471,-44.128426,0.170405378
